,Acurácia balanceada,Precisão,Recall,F1,Tempo,Desvio Tempo
Linear,0.8709496197432742,0.8292181069958847,0.7456059204440333,0.7851924013638578,0.0027,0.0015
RBF,0.9809132659873571,0.9895337773549001,0.9620721554116559,0.9756097560975611,6.155,0.1461
Sigmoid,0.5,0.0,0.0,0.0,21.293,3.5455
Poly,0.9652205806289348,0.9921104536489151,0.9306197964847364,0.9603818615751789,4.3814,0.2843
